บัญชีรายการวัสดุสิ้นเปลืองประจำปีงบประมาณ พ.ศ. 2567,,,
แนบท้ายประกาศมหาวิทยาลัยราชภัฏเลย ฉบับลงวันที่ 6 มิถุนายน 2567,,,
,,,
ลำดับ,รายการวัสดุ,หน่วยนับ, ราคากลาง 
72,เครื่องเย็บกระดาษใหญ่ KW13 มิล (50-SA),ตัว," 1,200.00 "
73,เครื่องเย็บกระดาษใหญ่ heavy duty,ตัว," 1,200.00 "
74,เครื่องยิงแม็กช์ ยิงกระดาษ TG-D,ตัว," 2,000.00 "
75,เครื่องยิงแม็กช์ ยิงกระดาษ TG-A,ตัว," 1,800.00 "
เครื่องคิดเลข,,,
76,เครื่องคิดเลข 12 หลัก,เครื่อง, 850.00 
77,เครื่องคิดเลข 14 หลัก,เครื่อง, 950.00 
เครื่องเจาะกระดาษ / เครื่องเหลาดินสอ,,,
78,เครื่องเจาะกระดาษ 2 รู เล็ก,เครื่อง, 85.00 
79,เครื่องเจาะกระดาษ 2 รู กลาง,เครื่อง, 250.00 
80,เครื่องเจาะกระดาษ 2 รู ใหญ่,เครื่อง, 650.00 
81,เครื่องเหลาดินสอ,เครื่อง, 450.00 
คัดเตอร์,,,
82,คัดเตอร์เล็ก สแตนเลส,อัน, 45.00 
83,คัดเตอร์ใหญ่ สแตนเลส,อัน, 55.00 
84,คีมถอนลวดเย็บกระดาษ,ตัว, 85.00 
85,เชือกขาวแดง เล็ก,ม้วน, 35.00 
86,เชือกขาวแดง กลาง,ม้วน, 40.00 
87,เชือกขาวแดง ใหญ่,ม้วน, 85.00 
ซอง,,,
88,ซองขาว มีครุฑ,ซอง, 1.50 
89,ซองขาว ไม่มีครุฑ,ซอง, 1.00 
90,ซองน้ำตาล A4 9*12 หนา มีครุฑ ไม่ขยายข้าง,ซอง, 4.00 
91,ซองน้ำตาล A4 9*12 หนา ไม่มีครุฑ ไม่ขยายข้าง,ซอง, 4.00 
92,ซองน้ำตาล A4 11*17 หนา ไม่มีครุฑ ไม่ขยายข้าง,ซอง, 5.00 
93,ซองน้ำตาล A4 11*17 หนา ไม่ครุฑ ขยายข้าง,ซอง, 6.00 
ดินสอ,,,
94,ดินสอดำ HB (1/12),กล่อง, 36.00 
95,ดินสอ 2B (1/12),กล่อง, 120.00 
ตรายาง,,,
96,ตรายางวันที่ (หมึกในตัว),อัน, 200.00 
ถ่าน,,,
