บัญชีรายการวัสดุสิ้นเปลืองประจำปีงบประมาณ พ.ศ. 2567,,,
แนบท้ายประกาศมหาวิทยาลัยราชภัฏเลย ฉบับลงวันที่ 6 มิถุนายน 2567,,,
,,,
ลำดับ,รายการวัสดุ,หน่วยนับ, ราคากลาง 
306,น้ำยาเจนนิตโต้ ผลิตภัณฑ์ถูพื้น (สูตรเข้มข้น) (3.8 ลิตร),แกลลอน, 390.00 
307,น้ำยาเคลียริ่ง น้ำยาขจัดครามสนิมใช้สำหรับล้างสุขภัณฑ์ และพื้นทั่วไป (3.8 ลิตร),แกลลอน, 850.00 
308,น้ำยาถูพื้น ดันฝุ่น (3.8 ลิตร),แกลลอน, 390.00 
309,น้ำยาล้างจาน ขนาด 485 มล.,ขวด, 250.00 
310,น้ำยาเช็ดกระจก หัวฉีดสเปรย์ ขนาด 600 มล.,ขวด, 150.00 
แปรง,,,
311,แปรงขัดห้องน้ำ ด้ามยาว,อัน, 100.00 
312,แปรงขัดห้องน้ำ ด้ามสั้น,อัน, 45.00 
313,แปรงซักผ้า,อัน, 35.00 
314,พรมเช็ดเท้า แบบถัก,ผืน, 50.00 
315,พรมเช็ดเท้า แบบเก็บฝุ่น,ผืน, 65.00 
316,ฟองน้ำตาข่าย สำหรับล้างแก้ว,อัน, 25.00 
317,ฟองน้ำตาข่าย สำหรับล้างถ้วย,อัน, 25.00 
ผงซักฟอก / ผ้า,,,
318,"ผงซักฟอก 1,000 กรัม",ห่อ, 95.00 
319,ผงซักฟอก 60 กรัม (12 ห่อ),แพ็ค, 120.00 
320,ผ้าขนหนูเล็ก (1/12 ผืน),แพ็ค, 300.00 
321,ผ้าห่มขี้ง่า,ผืน, 150.00 
322,ผ้าออแกนซ่า ยาว 60 หลา คละสี,ม้วน," 1,550.00 "
323,ผ้าต่วน ยาว 60 หลา คละสี,ม้วน," 1,850.00 "
ไม้ม๊อพ / ไม้กวาด / ไม้รีดน้ำ,,,
324,ไม้ม๊อพถูพื้นพร้อมผ้า ขนาด 24 นิ้ว,ชุด, 450.00 
325,ไม้ถูพื้นพร้อมผ้า ขนาด 12 นิ้ว,ชุด, 200.00 
326,ไม้ถูพื้นพร้อมผ้า ขนาด 10 นิ้ว,ชุด, 150.00 
327,ไม้กวาดดอกหญ้า ด้ามพลาสติก,ด้าม, 75.00 
328,ไม้กวาดดอกหญ้า ด้ามไม้,ด้าม, 75.00 
329,ไม้กวาดทางมะพร้าว,ด้าม, 75.00 
330,ไม้กวาดหยากไย่,ด้าม, 290.00 
331,ไม้รีดน้ำ ขนาด 24 นิ้ว,ด้าม, 370.00 
สเปรย์ปรับอากาศ,,,
332,สเปรย์ปรับอากาศ 300 ml.,กระป๋อง, 140.00 
333,สเปรย์ปรับอากาศ 320 ml.,กระป๋อง, 170.00 
334,สเปรย์กำจัด ยุง มด แมลงสาบ,กระป๋อง, 120.00 
335,สก๊อตไบรท์ ล้างจาน,อัน, 25.00 
วัสดุไฟฟ้า,,,
336,ปลั๊กไฟ 3 เมตร,ตัว, 450.00 
337,ปลั๊กไฟ 5 เมตร,ตัว, 590.00 
338,ปลั๊กไฟ 10 เมตร,ตัว, 890.00 
339,ฟิวส์,ตัว, 30.00 
340,เทปพันสายไฟ,ม้วน, 45.00 
341,เข็ดขัดรัดสายไฟฟ้า,ห่อ, 50.00 
342,สายไฟฟ้า,ม้วน," 1,450.00 "
343,สวิตช์ไฟฟ้า (1/12),กล่อง, 45.00 
344,หลอดไฟฟ้า,หลอด, 200.00 
345,ลูกถ้วยสายอวกาศ,ลูก, 150.00 
อุปกรณ์คอมพิวเตอร์,,,
346,กล้องเว็บแคม ความละเอียด 1080P,ตัว," 1,700.00 "
347,เมาส์มีสาย Mouse USB,ตัว, 250.00 
348,แป้นพิมพ์คอมพิวเตอร์มีสาย keyboard USB,ตัว, 350.00 
349,แป้นพิมพ์คอมพิวเตอร์ไร้สาย Wireless USB,ชุด, 390.00 
350,ชุดแป้นพิมพ์ + เมาส์ ไร้สาย Wireless USB,ชุด, 750.00 
351,สาย VGA ยาว 3 เมตร,เส้น, 250.00 
352,สาย VGA ยาว 5 เมตร,เส้น, 350.00 
353,สาย VGA ยาว 10 เมตร,เส้น, 450.00 
354,สาย VGA ยาว 15 เมตร,เส้น, 550.00 
355,สาย HDMI TO VGA ยาว 5 เมตร,เส้น," 1,900.00 "
356,สาย HDMI TO VGA ยาว 10 เมตร,เส้น," 2,200.00 "
357,สาย HDMI ยาว 5 เมตร,เส้น, 280.00 
358,สาย HDMI ยาว 10 เมตร,เส้น, 380.00 
359,สาย HDMI ยาว 15 เมตร,เส้น, 750.00 
360,สาย HDMI ยาว 20 เมตร,เส้น," 1,650.00 "
361,เมาส์ไร้สาย Wireless USB,ชุด, 350.00 
362,Switching Hub 5 Port,ตัว, 700.00 
363,Switching Hub 8 Port,ตัว, 990.00 
364,4 Port USB HUB v3.0,ตัว, 350.00 
อุปกรณ์จัดเก็บข้อมูล,,,
365,แฟลชไดร์ฟ Flash Drive 8 GB,ตัว, 100.00 
366,แฟลชไดร์ฟ Flash Drive 16 GB,ตัว, 170.00 
367,แฟลชไดร์ฟ Flash Drive 32 GB,ตัว, 250.00 
368,แฟลชไดร์ฟ Flash Drive 64 GB,ตัว, 350.00 
369,"Hard Disk External HDD 2.5"" ขนาด 1 TB",ตัว," 2,590.00 "
370,"Hard Disk External HDD 2.5"" ขนาด 2 TB",ตัว," 2,990.00 "
371,"Hard Disk External HDD 3.5"" ขนาด 4 TB",ตัว," 4,500.00 "
372,"Hard Disk External HDD 3.5"" ขนาด 6 TB",ตัว," 5,700.00 "
373,"Hard Disk External HDD 3.5"" ขนาด 10 TB",ตัว," 11,500.00 "
374,Hard Disk HDD WD Blue (7200RPM) Sata - 3 ขนาดความจุ 1 TB,ตัว," 2,500.00 "
375,Hard Disk HDD WD Blue (7200RPM) Sata - 3 ขนาดความจุ 2 TB,ตัว," 3,500.00 "
376,Hard Disk HDD WD Blue (7200RPM) Sata - 3 ขนาดความจุ 4 TB,ตัว," 4,500.00 "
377,Hard Disk HDD WD Blue (7200RPM) Sata - 3 ขนาดความจุ 6 TB,ตัว," 6,500.00 "
378,Hard Disk HDD WD Blue (7200RPM) Sata - 3 ขนาดความจุ 8 TB,ตัว," 12,000.00 "
379,SSD M.2 Pcle ขนาดความจุ 128 GB,ตัว," 1,500.00 "
380,SSD M.2 Pcle ขนาดความจุ 256 GB,ตัว," 2,500.00 "
381,SSD M.2 Pcle ขนาดความจุ 512 GB,ตัว," 2,900.00 "
382,SSD M.2 Pcle ขนาดความจุ 1 TB,ตัว," 3,500.00 "
